software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
lmod,"Stampede-2, ACES","Lmod is an environment module system that aids users in dynamically managing their software environments on HPC systems. It simplifies the process of loading and unloading software packages, managing versions, and handling dependencies for efficient software usage.","Environment module system, Dynamic software environment management, Software loading and unloading, Version and dependency control","environment modules, software management, dependency handling",Software Environment,High-Performance Computing,Environment Module System,Tool,,,
netpbm,Rockfish,"Netpbm is a toolkit for manipulation of graphic images, including conversion of images between different formats.","Netpbm allows for a wide variety of image processing operations including but not limited to format conversion, basic editing, and image generation.","image manipulation, graphic images, format conversion",Image Processing,Computer Science,Command-line Tool,Image Processing Toolkit,,,
fastai,ACES,fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains. It simplifies training fast and accurate neural nets using modern best practices.,"High-level deep learning library, State-of-the-art results in standard deep learning domains, Simplifies training fast and accurate neural nets, Modern best practices","Deep Learning, Neural Networks, Machine Learning, Artificial Intelligence",Deep Learning,Computer Science,Library,Deep Learning Library,,,
Z3,ACES,"Z3 is a high-performance theorem prover developed by Microsoft Research that is used for solving satisfiability modulo theories (SMT) problems. It provides capabilities for automated reasoning and constraint solving in various domains such as software verification, automated planning, and formal methods.","Automated reasoning, SMT solving, Constraint solving applications","Theorem Prover, SMT Solver, Automated Reasoning",Formal Verification,Computer Science,Solver,Theorem Proving Tool,,,
DCMTK,ACES,"DCMTK (DICOM Toolkit) is a collection of libraries and tools for handling Digital Imaging and Communications in Medicine (DICOM) image and data files. It provides a set of routines for reading, manipulating, and interpreting medical imaging data in the DICOM format.","Libraries for DICOM image handling, Tools for managing medical imaging data, Supports reading and manipulating DICOM files","DICOM handling, Medical Imaging",DICOM Processing,Medical Imaging,Tool,Imaging Toolkit,,,
Trimmomatic,Rockfish,"Trimmomatic is a widely-used tool in bioinformatics for the preprocessing and quality control of high-throughput sequencing data, such as those from next-generation sequencing platforms. It offers various functions to remove adapters, trim low-quality reads, and filter sequences based on user-defined parameters.","Adapter trimming for removing sequencing adaptors, Quality-based filtering to remove low-quality reads, Support for trimming and cropping reads based on quality scores, Multiple filtering and trimming options for customized processing","bioinformatics tool, sequence data preprocessing, NGS data analysis",Genomics,Bioinformatics,Sequence Data Preprocessor,Tool,,,
Rstats,Stampede-2,"Rstats is a commonly used term referring to statistics and data analysis tasks performed using the R programming language. Rstats encompasses a wide range of statistical techniques, visualization methods, and data manipulation capabilities.","Statistical modeling, Data visualization, Data manipulation and analysis","Statistics, Data Analysis, R Programming",Data Science,Statistics,Tool,Statistical Software,,,
PAPI,"OOKAMI, Stampede-2, Anvil, KyRIC","PAPI (Performance Application Programming Interface) is a portable interface for accessing performance counter hardware on modern microprocessors. It provides a source-level interface for collecting hardware performance counter statistics, with support for various hardware architectures.","Access to hardware performance counters, Portable interface across different architectures, Source-level interface for collecting performance statistics","Performance monitoring, Hardware performance counters, Microprocessor, Performance analysis",Performance Analysis,Computer Science,Performance Monitoring,Development Tools,,,
proj,"ACES, Rockfish","PROJ is a cartographic Projections Library used for representing the shape of the Earth on a two-dimensional surface. It provides a wide range of geodetic, geocentric, and cartographic projection capabilities for accurate mapping and spatial analysis.","Cartographic projections, Geodetic calculations, Spatial analysis","cartography, geodesy, spatial analysis",GIS,Geography,Geospatial,Library,,,
Nettle,ACES,"Nettle is a cryptographic library that is designed to fit easily in more or less any context: in crypto toolkits for object-oriented languages, in applications like LSH or GNUPG, or even in kernel space.","Supports a set of cryptographic algorithms, such as ARCFOUR, Blowfish, DES, Triple DES, MD5, SHA-1, SHA-256, RSA, DSA, and more, Offers a low-level crypto API, Provides a simple random generator, Designed to be fast and powerful, Written in C language","cryptographic library, cryptography, security","Cryptography, Information Security",Computer Science,Cryptographic Library,Library,,,
RE2,ACES,"RE2 is a fast, safe, thread-friendly, and portable C++ library for regular expressions. It aims to provide high performance and predictable runtime behavior for regular expression matching.","Fast regular expression matching, Thread safety, Compatibility with regular expression syntax","Regular Expressions, C++ Library, Performance",Formal Languages,Computer Science,Library,Regular Expression Engine,,,
prokka,"Bridges-2, Rockfish",Prokka is a software tool designed for rapid bacterial genome annotation. It integrates multiple bioinformatics tools and databases to automate the annotation process and provide detailed insights into bacterial genomic features.,"Genome annotation, Bioinformatics analysis, Database integration","bacterial genomics, genome annotation, bioinformatics",Genomics,Biology,Annotation,Tool,,,
Ferret,Rockfish,Ferret is an interactive computer visualization and analysis environment designed to meet the needs of oceanographers and meteorologists analyzing large and complex gridded data sets.,"Interactive visualization of gridded data sets, Data analysis and manipulation tools, Plotting and graphical capabilities, Support for various file formats, Customizable visualization options","visualization, data analysis, meteorology, oceanography","Oceanography, Meteorology",Earth Sciences,Interactive Environment,Data Visualization and Analysis,,,
Remora,"Stampede-2, Rockfish",Remora is a bioinformatics tool designed for analyzing and visualizing metagenomic assemblies. It facilitates the identification of genomic characteristics and provides insights into the composition and structure of metagenomes.,"Metagenomic assembly analysis, Genomic characteristics identification, Metagenome composition visualization, Metagenome structure analysis","bioinformatics, metagenomics, assembly analysis, visualization",Metagenomics,Bioinformatics,Bioinformatics tool,Analysis tool,https://github.com/TACC/remora,https://docs.tacc.utexas.edu/software/remora/,https://github.com/TACC/remora/wiki/How-to-use
gulp,Stampede-2,"GULP (General Utility Lattice Program) is a software package for performing atomistic simulations on materials using a wide range of interatomic potentials. It is commonly used for studying structural, thermodynamic, and mechanical properties of materials.","Atomistic simulations on materials, Various interatomic potentials for material models, Analysis of structural, thermodynamic, and mechanical properties","Atomistic Simulation, Material Science, Interatomic Potentials",Atomistic Modeling,Materials Science,Material Simulation Tool,Simulation Software,,,
edgeR,Rockfish,edgeR is a bioinformatics tool used for differential gene expression analysis in RNA-Seq data. It is particularly designed for identifying differential expression in high-throughput sequencing experiments and provides statistical methods for biological interpretation.,"Statistical analysis of RNA-Seq count data, Identification of differentially expressed genes, Dispersion estimation and normalization, Exploratory data analysis, Integration with other bioinformatics tools","differential gene expression analysis, RNA-Seq data, bioinformatics, statistical analysis",RNA-Seq Analysis,Genomics,Open Source,Bioinformatics Tools,,,
SIRfindeR,Rockfish,SIRfindeR is a software tool for identifying potential small interfering RNA (siRNA) sequences for gene silencing. It utilizes algorithms to predict efficient siRNA targets based on specific criteria and sequence properties.,"siRNA target prediction, Efficiency scoring, Off-target analysis","Bioinformatics, siRNA Analysis, Gene Silencing",RNA Interference,Biology,Tool,Predictive Tool,,,
BUSCO,Bridges-2,BUSCO (Benchmarking Universal Single-Copy Orthologs) is a bioinformatics tool used to assess the completeness and quality of genome assemblies or gene sets. It analyzes the presence of single-copy orthologous genes to evaluate assembly and annotation accuracy.,"Assesses completeness of genome assemblies, Evaluates quality of gene sets, Analyzes single-copy orthologous genes for benchmarking","Genome completeness assessment, Orthologous genes",Genome Assembly,Genomics,Tool,Genomics Tool,https://busco.ezlab.org/,,
zstd,"Anvil, ACES","zstd (Zstandard) is a high-performance data compression library and command-line tool that offers fast compression and decompression speeds with the ability to achieve high compression ratios. It is designed to balance efficient compression and decompression with speed, making it suitable for various data processing and storage applications.","High-speed data compression and decompression, Variable compression levels and strategies, Support for streaming and multi-threaded compression, Integration with common compression tools and libraries","data compression, high-speed compression, compression library",,,Compression Tool,Library,https://facebook.github.io/zstd/,https://facebook.github.io/zstd/zstd_manual.html,https://facebook.github.io/zstd/zstd_manual.html#Chapter6
Magics,ACES,"Magics is a meteorological plot package for visualisation of meteorological data in the format of GRIB files. It is part of the ECMWF software, and it focuses on high quality output and being easy to use for scientists working with meteorological data.","Magics provides a wide range of plot types including contour, wind vectors, symbols, waves, and text, along with various techniques for background shading and masking. It also offers the ability to customize plots with a variety of settings and options.","meteorology, data visualization, GRIB files",Meteorology,Earth Sciences,Plotting Software,Visualization Tool,,,
RstudioDesktop,Stampede-2,"RStudio Desktop is a graphical integrated development environment (IDE) for the R programming language. It provides a user-friendly interface for writing R code, visualizing data, and managing R projects within a desktop environment.","Code editing and execution, Interactive data visualization, Integrated development tools","Data Science, R Programming, IDE",Data Analysis,Statistics,IDE,Development Environment,,,
STARAligner,,"STARAligner, commonly referred to as STAR, is a fast and accurate RNA-Seq read alignment software tool. It efficiently maps RNA sequencing reads to a reference genome, enabling detailed analysis of gene expression and splicing patterns.","RNA-Seq read alignment, Splice junction detection, Gene expression quantification","Bioinformatics, RNA-Seq Analysis, Alignment Tool",Transcriptomics,Biology,Tool,Sequence Alignment,,,
HISAT2,Bridges-2,HISAT2 is a fast and sensitive alignment software tool for mapping high-throughput sequencing data to a reference genome. It performs splice-aware alignment and enables accurate and efficient mapping of RNA-seq reads.,"High-throughput sequencing data alignment, Splice-aware alignment, RNA-seq read mapping","Bioinformatics, Sequence Alignment, RNA-seq Analysis",RNA Sequencing,Genomics,Alignment Software,Tool,,,
deal.II,Bridges-2,deal.II is an open-source finite element library designed for solving partial differential equations (PDEs) using adaptive methods. It provides a versatile set of tools and algorithms for high-performance scientific computing and numerical simulations.,"Finite element method implementations, Adaptive mesh refinement, Support for 1D, 2D, and 3D problems, Parallel computing capabilities, Integration with external solvers and libraries","finite element method, PDE solvers, scientific computing, adaptive mesh refinement",Numerical Simulations,Computational Science,Open Source,Finite Element Library,,,
CMake,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Delta, Bridges-2, Rockfish",CMake is an open-source build system generator and project management tool widely used for managing the build process of software projects. It uses platform-independent configuration files to generate build scripts for various build environments and tools.,"Build system generator, Cross-platform project management tool, Configurable build scripts for diverse environments","Build system, Project management",,,Utility,Build Tool,https://cmake.org/,https://cmake.org/documentation/,"https://cmake.org/getting-started/, https://cmake.org/cmake/help/latest/guide/tutorial/index.html , https://www.youtube.com/watch?v=wl2Srog-j7I"
pkg,,"pkg is a package manager tool used for installing, upgrading, configuring, and removing software packages on various operating systems.",1. Package installation 2. Package upgrading 3. Package configuration 4. Package removal,"package manager, software installation, configuration management",,,Package Manager,Utility,,,
ecCodes,ACES,"ecCodes is a package developed by the ECMWF which provides an application programming interface and a set of tools for decoding and encoding messages in the following formats: BUFR, CREX, GRIB edition 1 and 2.","Decoding and encoding of meteorological data, Supports various message formats such as BUFR, CREX, GRIB, Application programming interface (API), Toolset for working with meteorological data","meteorology, data encoding, data decoding, API, meteorological data",Climate Science,Meteorology,Library,Data Processing,,,
