software_name,overview,core_features,general_tags,research_discipline,research_area,software_class,software_type
DCMTK,"DCMTK (DICOM Toolkit) is a collection of libraries and applications for implementing the DICOM (Digital Imaging and Communications in Medicine) standard. It provides tools for the handling, storing, and converting of medical images and related data in DICOM format.","DICOM standard implementation, Medical image handling, Data conversion","Medical imaging, DICOM toolkit, Image data processing","Medical imaging, Health informatics","DICOM data management, Medical image analysis",Library & Toolkit,DICOM implementation tool
BUSCO,BUSCO (Benchmarking Universal Single-Copy Orthologs) is a bioinformatics tool for assessing the completeness of genome or transcriptome assemblies by searching for a set of single-copy orthologous genes. It is widely used to evaluate genome assembly quality.,"Benchmarking tool, Genome completeness assessment, Single-copy ortholog search","Genome assembly, Quality assessment, Ortholog identification","Genomics, Bioinformatics","Genome assembly evaluation, Ortholog analysis",Bioinformatics tool,Benchmarking tool
CMake,"CMake is an open-source build system that manages the build process of software projects by generating native build configurations, such as Makefiles or project files for various environments. It simplifies the building, testing, and packaging of software across different platforms.","Build system management, Cross-platform build configurations, Automated project generation","Build system, Project management, Cross-platform support",,,Build tool,Build system generator
CuPy,"CuPy is an open-source numerical computing library that provides a GPU-accelerated array library for high-performance computing with Python. It serves as a GPU-compatible alternative to NumPy, allowing accelerated numerical computations on GPUs.","GPU-accelerated array computations, High-performance computing, Python compatibility","Numerical computing, GPU acceleration, Python library","High-performance computing, Data science","GPU computing, Numeric arrays processing",Numerical computing library,GPU-accelerated array library
CESM,"CESM (Community Earth System Model) is a coupled climate model developed by the National Center for Atmospheric Research (NCAR) for simulating the Earth's climate system. It integrates various components including the atmosphere, ocean, land, and sea ice to study climate dynamics.","Climate modeling, Coupled Earth system model, Atmosphere, ocean, land, sea ice components","Climate research, Earth system modeling, National Center for Atmospheric Research","Climate science, Meteorology","Climate modeling, Earth system dynamics",Climate model,Earth system modeling software
ChimeraX,"ChimeraX is a molecular visualization software developed by the UCSF ChimeraX project for interactive visualization and analysis of molecular structures. It offers advanced tools for exploring protein structures, molecular dynamics, and electron density maps.","Molecular visualization, Protein structure analysis, Electron density map visualization, Interactive molecular dynamics","Molecular modeling, Visualization software, Protein structures","Structural biology, Bioinformatics","Protein visualization, Molecular dynamics",Visualization tool,Molecular modeling software
BeautifulSoup,"BeautifulSoup is a Python library for web scraping that allows easy parsing of HTML and XML documents. It provides a convenient way to extract and manipulate data from web pages, making it a popular tool for data extraction tasks.","Web scraping, HTML parsing, XML parsing","Web scraping, Data extraction, Python library","Data science, Web development","Data extraction, Text parsing",Data scraping tool,Web parsing library
GLFW,"GLFW is an open-source, multi-platform library for creating windows with OpenGL contexts and managing input. It provides a simple API for handling window creation, input events, and managing OpenGL contexts, making it a popular choice for graphics applications and games.","Cross-platform window creation, OpenGL context management, Input event handling","Graphics programming, OpenGL development, Window management","Computer graphics, Software development","Graphics programming, OpenGL applications",Graphics library,Windowing toolkit
GROMACS,"GROMACS is a versatile molecular dynamics simulation software widely used in computational chemistry, biophysics, and bioinformatics research. It allows detailed simulations of biological macromolecules, lipids, and other complex systems to study their dynamic behavior and interactions at the atomic level.","Molecular dynamics simulations, Biological macromolecules, High-performance computing","Computational chemistry, Biophysics, Molecular modeling","Chemistry, Biophysics","Molecular simulations, Biological systems",Simulation software,Molecular dynamics tool
BerkeleyGW,BerkeleyGW is an open-source software package for calculating the electronic and optical properties of materials using many-body perturbation theory within the GW approximation. It is commonly used for researching materials properties at the quantum mechanical level.,"Electronic properties calculation, Optical properties analysis, Many-body perturbation theory","Materials research, Quantum mechanics, Electronic structure calculations","Materials science, Condensed matter physics","Electronic structure, Optical properties",Materials simulation tool,Electronic structure analysis software
